,Budget,Countries,Counts,Downloads,IMDB_ID,Ratings,Titles
15320,"$30,000,000",[USA],2,5981,tt0257360,7.2,About Schmidt (2002)
15321,"$6,000,000",[USA],2,1543,tt0790781,5.3,Wendy Wu: Homecoming Warrior (TV Movie 2006)
15322,"$4,000,000",[Hong Kong],1,253,tt0790786,6.1,Jackie Chan Presents: Wushu (2008)
15323,NaN,[USA],3,2729,tt0412922,7.6,Little Manhattan (2005)
15324,NaN,[USA],4,896,tt0106673,6.8,Dave (1993)
15325,"$6,900,000",[USA],5,4830,tt0106677,7.7,Dazed and Confused (1993)
15326,NaN,[USA],1,220,tt0106674,3.6,The Day My Parents Ran Away (TV Movie 1993)
15327,NaN,[USA],1,532,tt0107101,4.6,Hellbound (1994)
15328,NaN,[USA],2,738,tt0107107,5.4,Hexed (1993)
15329,NaN,[Japan],2,343,tt2981768,7.4,Sakasama no Patema (2013)
15330,NaN,[Thailand],1,1183,tt1054564,3.0,Bloodmonkey (Video 2007)
15331,"$155,000,000","[Germany, USA, Netherlands, France, UK, Italy]",8,8995,tt0346491,5.5,Alexander (2004)
15332,NaN,[Denmark],1,211,tt0088445,7.5,Zappa (1983)
15333,NaN,[USA],1,429,tt0088444,5.3,The Zany Adventures of Robin Hood (TV Movie 1984)
15334,NaN,[Spain],7,8123,tt1263750,6.2,Habitación en Roma (2010)
15335,NaN,[USA],3,1795,tt0123832,4.8,Family Plan (1997)
15336,NaN,[USA],1,297,tt2014338,7.7,Side by Side (2012)
15337,NaN,"[Canada, USA]",2,4181,tt0840350,5.4,My Little Pony: A Very Minty Christmas (Video 2005)
15338,NaN,[USA],1,770,tt0109120,5.6,Andre (1994)
15339,NaN,"[USA, Canada, UK]",2,4162,tt0331468,4.9,Cold Creek Manor (2003)
15340,NaN,"[France, Germany]",8,13339,tt0211915,8.5,Amélie (2001)
15341,"$500,000","[Australia, Thailand, Japan]",1,93,tt3247902,8.7,Journey to the 100 Man Fight: The Judd Reid Story (2013)
15342,NaN,[Italy],3,1256,tt0072595,6.2,The Immortal Bachelor (1975)
15343,NaN,[USA],1,2,tt1405500,5.8,For Colored Girls (2010)
15344,NaN,[France],2,1132,tt0113362,7.1,The Horseman on the Roof (1995)
15345,NaN,[USA],2,1155,tt0113360,5.9,The Hunted (1995)
15346,NaN,[USA],1,473,tt0100688,5.1,Steel and Lace (1991)
15347,"$5,000,000",[USA],1,40,tt0050882,6.4,Raintree County (1957)
15348,NaN,[USA],1,1836,tt0100684,5.2,State Park (1988)
15349,NaN,"[UK, USA]",3,2670,tt0100685,7.3,State of Grace (1990)
15350,"$5,816,000",[USA],4,733,tt0100680,6.2,Stanley & Iris (1990)
15351,NaN,"[Italy, France, USA]",2,743,tt0100681,7.7,Everybody's Fine (1990)
15352,NaN,[Italy],1,285,tt0100683,5.5,Stasera a casa di Alice (1990)
15353,NaN,[USA],3,1657,tt0047152,7.0,Knock on Wood (1954)
