ID,Category,genre
1486745,Other,blues
1486745,rock,rock
1486743,rock,alternative
1486743,Pop,indie
1486743,rock,rock
1486729,Other,folk
1486727,Other,classical
1486727,Other,jazz
1486727,Other,classical
1486710,Other,folk
1486708,Other,folk
1486707,Other,blues
1486704,Other,folk
1486691,Other,classical
1486689,Other,blues
1486689,rock,rock
1486687,Electronic,trance/techno
1486684,rock,hardcore
1486684,Electronic,trance/techno
1486678,Other,folk
1486677,Other,folk
1486676,Other,folk
1486658,Other,folk
1486656,Other,comedy
1486655,Other,folk
1486654,Electronic,drum'n'bass
1486654,Electronic,drum'n'bass
1486653,Electronic,drum'n'bass
1486653,Electronic,drum'n'bass
1486648,Other,classical
1486648,Other,classical
1486646,Other,folk
1486628,Pop,pop
1486627,rock,dark-rock
1486627,rock,dark-rock
1486625,Other,classical
1486625,Other,classical
1486620,Other,jazz
1486618,Pop,dance
1486617,rock,alternative
1486617,rock,rock
1486613,Other,audiobook
1486612,Electronic,house
1486611,Electronic,psychedelic/acid/goa
1486610,rock,hardcore
1486610,rock,rock
1486609,Other,reggae
1486607,Electronic,house
1486606,Other,classical
1486595,rock,dark-rock
1486595,rock,dark-rock
1486593,Pop,dance
1486591,Electronic,electronic
1486590,rock,dark-rock
1486590,rock,dark-rock
1486588,Other,comedy
1486588,Other,comedy
1486586,Other,folk
1486584,Other,classical
1486583,Other,classical
1486581,Pop,dance
1486580,Other,classical
1486575,rock,hardcore
1486572,rock,rock
1486572,rock,dark-rock
1486572,rock,dark-metal
1486572,rock,dark-rock
1486563,rock,dark-rock
1486563,rock,dark-rock
1486561,Other,classical
1486561,Other,classical
1486547,rock,dark-rock
1486546,Pop,indie
1486546,rock,rock
1486545,Electronic,chillout/ambient
1486544,rock,punk
1486544,rock,rock
1486543,Hip-hop,rap
1486541,Pop,pop
1486540,Electronic,trance/techno
1486535,Pop,pop
1486532,Electronic,trance/techno
1486531,Electronic,trance/techno
1486529,rock,hardcore
1486529,Electronic,electronic
1486528,Electronic,trance/techno
1486524,Electronic,trance/techno
1486523,Electronic,trance/techno
1486522,Hip-hop,hip-hop
1486521,Electronic,electronic
1486520,Electronic,trance/techno
1486519,Electronic,trance/techno
1486517,Other,folk
1486517,Other,folk
1486517,Pop,pop
1486517,rock,rock
1486515,Other,classical
1486505,rock,rock
1486505,rock,hardcore
1486505,rock,rock
1486504,Electronic,trance/techno
1486503,Electronic,trance/techno
1486502,Electronic,trance/techno
1486501,Electronic,trance/techno
1486500,Electronic,chillout/ambient
1486499,rock,rock'n'roll
1486498,Electronic,trance/techno
1486497,Electronic,psychedelic/acid/goa
1486496,Electronic,trance/techno
1486495,Electronic,trance/techno
1486494,Electronic,trance/techno
1486493,Electronic,trance/techno
1486492,Electronic,trance/techno
1486491,Electronic,trance/techno
1486490,Electronic,house
1486489,Electronic,trance/techno
1486488,Electronic,trance/techno
1486487,Electronic,electronic
1486486,Electronic,house
1486485,Electronic,trance/techno
1486484,Electronic,trance/techno
1486483,Electronic,trance/techno
1486482,Electronic,trance/techno
1486481,Electronic,trance/techno
1486480,Pop,dicso
1486479,Electronic,house
1486478,Electronic,trance/techno
1486477,Electronic,trance/techno
1486476,Electronic,trance/techno
1486475,Electronic,trance/techno
1486474,Electronic,trance/techno
1486473,Electronic,trance/techno
1486472,Electronic,house
1486471,Electronic,trance/techno
1486470,Electronic,trance/techno
1486469,Electronic,house
1486468,Electronic,psychedelic/acid/goa
1486467,Electronic,trance/techno
1486466,Electronic,trance/techno
1486465,Electronic,trance/techno
1486464,Electronic,trance/techno
1486463,Electronic,house
1486462,Electronic,trance/techno
1486461,Electronic,trance/techno
1486460,Electronic,house
1486459,Electronic,trance/techno
1486458,Electronic,trance/techno
1486457,Electronic,trance/techno
1486456,Electronic,trance/techno
1486455,Electronic,trance/techno
1486454,Electronic,trance/techno
1486453,Electronic,trance/techno
1486452,Electronic,trance/techno
1486451,Electronic,trance/techno
1486450,Electronic,trance/techno
1486449,Electronic,trance/techno
1486448,Electronic,trance/techno
1486447,Electronic,trance/techno
1486446,Electronic,trance/techno
1486442,Pop,synthpop
1486442,Pop,pop
1486438,Hip-hop,hip-hop
1486438,Hip-hop,hip-hop
1486430,Pop,synthpop
1486430,Pop,pop
1486429,Electronic,trance/techno
1486428,Electronic,electronic
1486427,Electronic,drum'n'bass
1486427,Electronic,drum'n'bass
1486426,Electronic,drum'n'bass
1486426,Electronic,drum'n'bass
1486424,Pop,synthpop
1486424,Pop,pop
1486422,Electronic,trance/techno
1486416,rock,rock
1486415,Pop,dance
1486414,rock,rock
1486413,rock,rock
1486412,Other,classical
1486405,rock,hardcore
1486405,rock,rock
1486400,Other,classical
1486398,Electronic,house
1486396,Electronic,chillout/ambient
1486369,Hip-hop,rnb
1486369,Other,swing
1486369,Hip-hop,hip-hop
1486369,Electronic,house
1486369,Pop,pop
1486369,Hip-hop,rap
1486348,Pop,pop
1486335,rock,dark-rock
1486335,rock,dark-metal
1486335,rock,dark-rock
1486333,Other,classical
1486331,Pop,pop
1486331,Electronic,electronic
1486331,Pop,dance
1486324,Other,comedy
1486324,Other,comedy
1486321,Other,audiobook
1486319,Other,classical
1486311,rock,dark-rock
1486311,rock,dark-rock
1486308,Pop,indie
1486308,rock,rock
1486308,rock,alternative
1486307,Pop,pop
1486300,Hip-hop,hip-hop
1486300,Hip-hop,hip-hop
1486291,Hip-hop,hip-hop
1486291,Hip-hop,hip-hop
1486280,Pop,pop
1486280,Hip-hop,rap
1486278,Pop,dance
1486278,Hip-hop,hip-hop
1486278,Hip-hop,hip-hop
1486278,Pop,pop
1486272,Pop,pop
1486271,Electronic,trance/techno
1486256,rock,alternative
1486256,rock,rock
1486255,Pop,pop
1486249,rock,rock
1486249,rock,alternative
